order_id,new_order_date,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year
IN-2011-29872,2011-01-11,1/11/2011,1/15/2011,"Standard Class","Dianna Vittorini",Consumer,"Jammu and Kashmir",India,APAC,"Central Asia",FUR-FU-10001471,Furniture,Furnishings,""Eldon Door Stop",21,142,3.000,0.00000,52.38," 15.62 ",0
IN-2011-10552,2011-01-24,1/24/2011,1/30/2011,"Standard Class","Chuck Clark","Home Office","Madhya Pradesh",India,APAC,"Central Asia",OFF-LA-10004430,"Office Supplies",Labels,""Avery Shipping Labels",21,59,5.000,0.00000,27.75," 4.27 ",0
IN-2011-31496,2011-01-26,1/26/2011,1/28/2011,"Second Class","Nathan Mautz","Home Office",Telangana,India,APAC,"Central Asia",OFF-PA-10000070,"Office Supplies",Paper,""Eaton Computer Printout Paper",21,79,3.000,0.00000,25.38," 13.82 ",0
IN-2011-76198,2011-01-26,1/26/2011,2/1/2011,"Standard Class","Anna Andreadi",Consumer,Telangana,India,APAC,"Central Asia",OFF-AR-10002256,"Office Supplies",Art,""BIC Sketch Pad",21,343,7.000,0.00000,54.60," 13.22 ",0
IN-2011-60917,2011-02-11,2/11/2011,2/15/2011,"Standard Class","Sung Pak",Corporate,Karnataka,India,APAC,"Central Asia",OFF-BI-10001659,"Office Supplies",Binders,""Cardinal Index Tab",21,22,3.000,0.00000,3.87," 2.92 ",0
IN-2011-73734,2011-02-12,2/12/2011,2/19/2011,"Standard Class","Michael Granlund","Home Office",Telangana,India,APAC,"Central Asia",OFF-BI-10004440,"Office Supplies",Binders,""Cardinal Binder",21,14,1.000,0.00000,3.30," 0.97 ",0
IN-2011-78263,2011-02-16,2/16/2011,2/21/2011,"Standard Class","Benjamin Farhat","Home Office","Uttar Pradesh",India,APAC,"Central Asia",TEC-MA-10002941,Technology,Machines,""Okidata Card Printer",21,0,211.000,7.00000,0.00,423.78,113
IN-2011-78263,2011-02-16,2/16/2011,2/21/2011,"Standard Class","Benjamin Farhat","Home Office","Uttar Pradesh",India,APAC,"Central Asia",FUR-FU-10001619,Furniture,Furnishings,""Advantus Clock",21,150,3.000,0.00000,58.50," 8.48 ",0
IN-2011-78263,2011-02-16,2/16/2011,2/21/2011,"Standard Class","Benjamin Farhat","Home Office","Uttar Pradesh",India,APAC,"Central Asia",OFF-LA-10003396,"Office Supplies",Labels,""Avery Color Coded Labels",21,40,3.000,0.00000,8.73," 2.35 ",0
IN-2011-78263,2011-02-16,2/16/2011,2/21/2011,"Standard Class","Benjamin Farhat","Home Office","Uttar Pradesh",India,APAC,"Central Asia",FUR-BO-10004230,Furniture,Bookcases,""Bush Corner Shelving",21,123,1.000,0.00000,50.61," 1.34 ",0
IN-2011-31895,2011-02-18,2/18/2011,2/23/2011,"Standard Class","Ruben Dartt",Consumer,Rajasthan,India,APAC,"Central Asia",FUR-CH-10001871,Furniture,Chairs,""Harbour Creations Steel Folding Chair",21,300,3.000,0.00000,18.00," 12.23 ",0
